epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,506.02,1.03711,0.93887,1.17533,0.90051,0.38564,0.39366,0.32328,0.79796,0.74185,0.96591,0.00035382,0.00035382,0.00035382
40,520.225,1.0035,0.94644,1.10483,0.93973,0.71083,0.71817,0.58732,0.79796,0.74185,0.96591,0.000325526,0.000325526,0.000325526
41,541.018,0.89805,0.89102,1.03309,0.89988,0.34333,0.34559,0.28371,0.78487,0.74308,0.95947,0.000297232,0.000297232,0.000297232
42,556.553,0.94252,0.92689,1.05456,0.9631,0.65584,0.67077,0.53881,0.78487,0.74308,0.95947,0.000268938,0.000268938,0.000268938
43,567.047,0.885,0.80155,1.0553,0.95671,0.918,0.94349,0.75679,0.78487,0.74308,0.95947,0.000240644,0.000240644,0.000240644
44,584.016,0.86833,0.81624,1.08278,0.94986,0.39033,0.39421,0.31951,0.79966,0.75304,0.96158,0.000212349,0.000212349,0.000212349
45,597.455,0.76248,0.77795,0.99511,0.94936,0.71842,0.70552,0.56262,0.79966,0.75304,0.96158,0.000184055,0.000184055,0.000184055
46,609.628,0.91943,0.85209,1.17303,0.94018,0.90164,0.88475,0.70434,0.79966,0.75304,0.96158,0.000155761,0.000155761,0.000155761
47,627.36,0.83613,0.77151,1.0135,0.98553,0.39033,0.39565,0.32545,0.77252,0.72822,0.95565,0.000127467,0.000127467,0.000127467
48,642.319,0.85703,0.75061,1.02636,0.9921,0.76551,0.76995,0.62236,0.77252,0.72822,0.95565,9.91726e-05,9.91726e-05,9.91726e-05
49,662.355,0.83702,0.78608,1.05182,0.98871,0.39033,0.39586,0.32512,0.74578,0.70504,0.95111,7.08784e-05,7.08784e-05,7.08784e-05
50,677.24,0.89582,0.8073,1.085,0.99348,0.76551,0.77001,0.63914,0.74578,0.70504,0.95111,4.25842e-05,4.25842e-05,4.25842e-05
