epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.7993,3.84353,6.15923,3.13921,0.00068,0.07864,0.00046,7e-05,3.30685,5.58382,2.83025,2.858e-05,2.858e-05,2.858e-05
2,52.9958,3.2646,4.71757,2.58216,0.01437,0.07864,0.01765,0.0061,2.23831,4.47691,2.14114,7.00353e-05,7.00353e-05,7.00353e-05
3,62.4699,2.3603,3.45629,2.02273,0.20352,0.09307,0.06768,0.02257,2.31039,5.15355,2.1224,0.000109793,0.000109793,0.000109793
4,71.8771,2.11751,3.2921,1.88632,0.14956,0.42713,0.08126,0.02604,2.1872,10.9827,2.0588,0.000147853,0.000147853,0.000147853
5,82.058,1.96259,2.70088,1.74621,0.10469,0.42713,0.07382,0.02962,1.86438,8.07458,1.8774,0.000184215,0.000184215,0.000184215
6,92.802,1.62343,2.35432,1.49703,0.20239,0.42352,0.22587,0.11185,1.5373,4.67526,1.61995,0.00021888,0.00021888,0.00021888
7,104.486,1.71077,2.13034,1.50714,0.35465,0.34666,0.29442,0.14489,1.4941,4.84319,1.60261,0.000251847,0.000251847,0.000251847
8,117.465,1.50023,1.93841,1.46617,0.5773,0.26818,0.33048,0.16717,1.48968,3.31633,1.53363,0.000283116,0.000283116,0.000283116
9,129.909,1.34847,1.68881,1.37783,0.42989,0.4798,0.46464,0.26716,1.40517,2.8217,1.45729,0.000312688,0.000312688,0.000312688
10,141.443,1.45274,1.78283,1.31582,0.35433,0.52958,0.42169,0.23527,1.40222,2.36553,1.37457,0.000340562,0.000340562,0.000340562
11,152.293,1.31739,1.62382,1.32429,0.58367,0.37875,0.42185,0.23361,1.44847,2.05479,1.45768,0.000366739,0.000366739,0.000366739
12,164.623,1.46235,1.81242,1.47776,0.53311,0.4026,0.43211,0.24103,1.43865,1.99545,1.49066,0.000391217,0.000391217,0.000391217
13,176.289,1.40961,1.92819,1.39999,0.46558,0.29484,0.34232,0.18787,1.41911,2.0878,1.39399,0.000413998,0.000413998,0.000413998
14,188.967,1.40649,1.65116,1.29268,0.63643,0.36789,0.42538,0.2429,1.34863,1.75093,1.29968,0.000435082,0.000435082,0.000435082
15,199.454,1.315,1.46456,1.2359,0.65418,0.62049,0.66656,0.3743,1.34863,1.75093,1.29968,0.000454468,0.000454468,0.000454468
16,211.456,1.23685,1.38807,1.19832,0.63531,0.45166,0.47305,0.27051,1.26823,1.38594,1.29413,0.000472156,0.000472156,0.000472156
17,224.495,1.33585,1.55655,1.34991,0.56696,0.49856,0.48231,0.29739,1.31428,1.42569,1.2942,0.000488146,0.000488146,0.000488146
18,235.635,1.20213,1.31009,1.1854,0.70027,0.6847,0.75206,0.45002,1.31428,1.42569,1.2942,0.000502439,0.000502439,0.000502439
19,249.264,1.4589,1.51283,1.42742,0.79872,0.42997,0.51492,0.30301,1.339,1.48201,1.28385,0.000515034,0.000515034,0.000515034
20,262.632,1.1313,1.31524,1.17235,0.62804,0.51723,0.50573,0.31319,1.21499,1.21738,1.15296,0.000525932,0.000525932,0.000525932
21,272.226,1.222,1.27893,1.1592,0.87696,0.6847,0.80725,0.48455,1.21499,1.21738,1.15296,0.000535132,0.000535132,0.000535132
22,286.618,1.2161,1.37902,1.22604,0.83152,0.55372,0.60139,0.41391,1.04697,1.16458,1.08326,0.000542634,0.000542634,0.000542634
23,298.074,1.24409,1.38661,1.15362,0.83113,0.88219,0.91628,0.63959,1.04697,1.16458,1.08326,0.000548439,0.000548439,0.000548439
24,313.017,1.15457,1.13756,1.14341,0.85746,0.43651,0.4632,0.32494,1.04157,1.12283,1.07832,0.000552546,0.000552546,0.000552546
25,322.603,1.11597,1.15877,1.16099,0.80767,0.68615,0.73112,0.51297,1.04157,1.12283,1.07832,0.000554955,0.000554955,0.000554955
26,338.867,1.09697,1.11904,1.13224,0.65772,0.4036,0.40467,0.29219,1.02873,1.14777,1.08326,0.000555667,0.000555667,0.000555667
27,351.919,1.05404,1.10783,1.17763,0.69476,0.8063,0.82625,0.59818,1.02873,1.14777,1.08326,0.000554681,0.000554681,0.000554681
28,363.464,1.07097,1.05443,1.1079,0.87949,0.48341,0.51417,0.37173,0.96236,1.12864,1.06355,0.000551997,0.000551997,0.000551997
29,373.229,0.98667,0.96091,1.12058,0.87309,0.77954,0.8571,0.64297,0.96236,1.12864,1.06355,0.000547616,0.000547616,0.000547616
30,382.592,1.13753,1.08983,1.1416,0.89356,0.86681,0.94355,0.70696,0.96236,1.12864,1.06355,0.000541537,0.000541537,0.000541537
31,395.464,1.10849,1.11763,1.1841,0.8457,0.49928,0.52119,0.38666,0.93627,0.96652,1.04373,0.00053376,0.00053376,0.00053376
32,406.556,1.02703,0.98817,1.14969,0.89427,0.87918,0.91908,0.6936,0.93627,0.96652,1.04373,0.000524286,0.000524286,0.000524286
33,421.073,1.01981,0.9409,1.09753,0.8563,0.52279,0.52903,0.39279,0.94623,0.84778,1.01975,0.000513114,0.000513114,0.000513114
34,432.716,1.07427,1.03362,1.1124,0.92316,0.84549,0.89939,0.68348,0.94623,0.84778,1.01975,0.000495291,0.000495291,0.000495291
35,445.044,0.96438,0.92861,1.08794,0.93533,0.92114,0.98698,0.75201,0.94623,0.84778,1.01975,0.000466997,0.000466997,0.000466997
36,462.716,1.05023,1.01334,1.07977,0.9509,0.37446,0.39161,0.31795,0.8666,0.77107,0.99564,0.000438703,0.000438703,0.000438703
37,478.764,0.99915,0.96781,1.10776,0.96147,0.68203,0.71601,0.57098,0.8666,0.77107,0.99564,0.000410409,0.000410409,0.000410409
38,489.808,0.89954,0.897,1.06512,0.94315,0.96825,0.98957,0.77987,0.8666,0.77107,0.99564,0.000382115,0.000382115,0.000382115
